x;y;index;emptycolumn;Produkt;Firma;Typ;nodesize;Info;Lerninhalte;Lernart;Format;Mobile;webadresse;gesamtzeit;Nuggets;Zeit fuer kleinste UE;Content_oder_Software;Lernweg;Awards;emptycolumn2
;;82;;VR-Chemikant;Weltenmacher GmbH;Hardware;5;Erklärung einer Kreiselpumpe mittels VR;Verstehen;informell;VR;nein;https://www.weltenmacher.de/training/chemikant/;-;ka;ka;Content;Mischform;Delina 2019;
;;83;;Next-Lab;Next-Lab;Web;5;Experimentier Apps, Lernräume;Analyse / Synthese / Bewertung;informell;html + App;ja;https://www.golabz.eu/;-;ja;ka;beides;Mischform;Delina 2019 nominiert;
;;84;;Go-Ga ;GoLabs Goes Africa;Web;5;Lehrer und Schueler Training fuer Afrika, App Unterstützung ;ka;ka;html + App;ja;https://go-ga.org/;-;ja;ka;beides;Mischform;kein;
;;85;;SWE WissensWElt;Stadtwerke Erfurt;Mobile;5;Stadtfuehrung mit AR;Verstehen;informell;App;ja;https://swefuererfurt.de/2017/11/06/wissenswelt-digitale-reise-durch-die-stadtwerke/#more-10739;-;ja;ka;beides;Mischform;Delina 2019;
;;86;;WBS LernSpace 3D;WBS Akademie;Hardware;5;Digitaler Campus;ka;ka;VR;nein;https://www.wbstraining.de/wbs-learnspace-3d/;-;ja;ka;beides;Mischform;Delina 2019 nominiert;
;;87;;PD Learn;Weltenmacher GmbH;Hardware;5;VR Anleitung: Sichere Dialyse daheim, 65+;Verstehen;informell;VR;nein;https://www.weltenmacher.de/training/dialyse/;-;ka;ka;Content;Mischform;Delina 2019 nominiert;
;;88;;SenseBox;Re:edu GmbH;Hardware;5;IoT Messstation, OpenSource Datenauswertung, Citizen Science;Anwenden;informell;Hardware;nein;https://reedu.de/;-;ka;ka;Dienstleister;Mischform;Delina 2019;
;;89;;OLAT;Virtueller Campus Rheinland-Pfalz;LMS;5;LMS Hochschulen Rheinland Pfalz;ka;ka;html;nein;https://olat.vcrp.de/dmz/;-;ka;ka;Dienstleister;Mischform;kein;
;;90;;Linsen Law Learning - Strafrecht;Universitaet Muenster;Web;5;Kurzvideos Strafrecht, mit Selbstlernaufgaben;Wissen;informell;html;nein;https://www.fh-muenster.de/hochschule/aktuelles/pressemitteilungen.php?pmid=7241;-;ja;3-6 min;Content;E-Learning by distribution;kein;
;;91;;Cubetto;Primo Toys;Hardware;5;Programmierkloetze fuer Kinder ab 3 Jahren;Anwenden;informell;Hardware;nein;https://www.primotoys.com/de/Produkt/cubetto/;-;ja;ka;beides;E-Learning by interaction;BETT 2018;
;;92;;Times Tables Rock Star;Math Circle Ltd.;Web;5;Mathe lernen, Gamification, Competition, Managing Tasks;Anwenden;informell;html + App;ja;https://ttrockstars.com/home;-;ja;ka;beides;Mischform;BETT 2018;
;;93;;Seppo;Seppo;Mobile;5;Gamification, Karte der Umgebung in App mit Aufgaben besetzen;Anwenden;informell;App;ja;https://seppo.io/en/;-;ja;ka;Dienstleister;Mischform;BETT 2018;
;;94;;Creaza;Creaza AS;Web;5;Collaborative Mind Maps, Cartoons, ect;Verstehen;informell;html;nein;https://web.creaza.com/en/;-;ka;ka;Dienstleister;Mischform;BETT 2018;
;;95;;Trello;Trello;Web;5;collaborative tool, managing projects;Anwenden;formell;html + App;ja;https://trello.com/de;-;ka;ka;Dienstleister;E-Learning by collaboration;kein;
;;96;;Zoom;Zoom;Software;5;Video Conference Tool, u.a. fuer Webinare & Schulungen;Anwenden;Mischform;Software;ja;https://zoom.us/;-;ka;ka;Dienstleister;Mischform;kein;
;;97;;Podio;Citrix;Web;5;Collaborative Work, Kommunikation und Content an einem Platz;Anwenden;Mischform;html;ja;https://podio.com/;-;ka;ka;Dienstleister;E-Learning by collaboration;kein;
;;98;;Vevrox;Vevrox Ltd. ;Mobile;5;collaborative surveys & quizzes;Verstehen;informell;App;ja;https://www.vevox.com/;-;ja;ka;Dienstleister;E-Learning by interaction;BETT 2018;
;;99;;ClassVR;ClassVR;Hardware;5;VR for classroom with central controll;Verstehen;informell;Hardware;nein;http://www.classvr.com/;-;ja;ka;beides;E-Learning by distribution;BETT 2018;
;;100;;Easy Sense VU + Data Logger;Data Harvest;Hardware;5;Science experiments with sensors ;Anwenden;informell;Hardware;ja;https://data-harvest.co.uk/;-;ja;ka;beides;E-Learning by interaction;BETT 2018;
;;101;;Take7;Take 7 Music;Mobile;5;Instrumente lernen per App;Anwenden;Mischform;App;ja;https://www.take7music.com/;-;ka;ka;beides;E-Learning by interaction;BETT 2018;
;;102;;AstroAlgebra;AstroAlgebra;Mobile;5;teaching math in space;Verstehen;informell;App;ja;https://www.teacherswithapps.com/astro-algebra/;-;ka;ka;beides;E-Learning by interaction;BETT 2018;
